,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude
0,Monday,Recovered Vehicle,29TH ST \ SAN JOSE AVE,37.74394224018153,-122.42266944640758
1,Tuesday,Burglary,29TH ST \ NOE ST,37.743430737037684,-122.43110033890714
2,Sunday,Fraud,29TH ST \ NOE ST,37.743430737037684,-122.43110033890714
3,Sunday,Robbery,29TH ST \ MISSION ST,37.744037631346345,-122.42089366066374
4,Tuesday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224018153,-122.42266944640758
5,Saturday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224018153,-122.42266944640758
6,Friday,Burglary,29TH ST \ CHURCH ST,37.743699578796246,-122.42667038150655
7,Sunday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224018153,-122.42266944640758
8,Monday,Assault,29TH ST \ MISSION ST,37.744037631346345,-122.42089366066374
9,Thursday,Larceny Theft,29TH ST \ DOLORES ST,37.743838215337966,-122.42438486441208
10,Saturday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316144575892,-122.4355590087104
11,Saturday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316144575892,-122.4355590087104
12,Thursday,Non-Criminal,29TH ST \ TIFFANY AVE,37.743979453094994,-122.42197676683371
13,Tuesday,Burglary,29TH ST \ MISSION ST,37.744037631346345,-122.42089366066374
14,Thursday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316144575892,-122.4355590087104
15,Friday,Non-Criminal,29TH ST \ TIFFANY AVE,37.743979453094994,-122.42197676683371
16,Wednesday,Motor Vehicle Theft,29TH ST \ NOE ST,37.743430737037684,-122.43110033890714
17,Wednesday,Motor Vehicle Theft,29TH ST \ NOE ST,37.743430737037684,-122.43110033890714
18,Tuesday,Lost Property,29TH ST \ DIAMOND ST,37.74316144575892,-122.4355590087104
19,Wednesday,Larceny Theft,29TH ST \ NOE ST,37.743430737037684,-122.43110033890714
20,Friday,Motor Vehicle Theft,29TH ST \ SANCHEZ ST,37.743565341494985,-122.42888268662789
21,Wednesday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.743699578796246,-122.42667038150655
22,Monday,Weapons Offense,29TH ST \ TIFFANY AVE,37.743979453094994,-122.42197676683371
23,Monday,Larceny Theft,29TH ST \ TIFFANY AVE,37.743979453094994,-122.42197676683371
24,Friday,Larceny Theft,29TH ST \ DOLORES ST,37.743838215337966,-122.42438486441208
25,Tuesday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316144575892,-122.4355590087104
26,Tuesday,Larceny Theft,29TH ST \ SANCHEZ ST,37.743565341494985,-122.42888268662789
27,Monday,Larceny Theft,29TH ST \ CHURCH ST,37.743699578796246,-122.42667038150655
28,Monday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316144575892,-122.4355590087104
