Latitude,Longitude,probability,overnight,openSpaces,numberOfCameras,Crime
37.74316145,-122.43555900000001,3221.0,51,261,520,53
37.74321758,-122.4346217,525.0,8,62,60,8
37.743296,-122.43331950000001,720.0,11,65,113,12
37.74343074,-122.4311003,2026.0,35,199,336,36
37.74356534,-122.4288827,1646.0,32,138,356,34
37.74369958,-122.42667040000002,2997.0,48,250,455,49
37.74383822,-122.42438490000002,2424.0,39,217,399,39
37.74394224,-122.42266940000002,4084.0,71,407,700,73
37.74397945,-122.4219768,2646.0,45,231,434,46
37.74400035,-122.43560320000002,1048.0,19,80,122,20
37.74403763,-122.4208937,5402.0,92,547,923,95
37.74411574,-122.4333946,2597.0,46,264,289,47
37.74424514,-122.4311798,2965.0,51,256,404,52
37.74436324,-122.42895949999999,1827.0,32,136,231,33
37.74449741,-122.42674620000001,2390.0,42,232,281,42
37.744636,-122.4244592,1329.0,24,112,162,23
37.7447588,-122.42243880000001,4694.0,77,421,590,80
37.74514621,-122.44294950000001,2496.0,45,226,76,45
37.74523094,-122.4412703,2681.0,48,204,103,48
37.74529603,-122.44008799999999,2963.0,51,275,77,52
37.74543459,-122.4379345,902.0,18,78,63,18
37.74554995,-122.43576680000001,558.0,12,35,14,12
37.74557881,-122.4222183,1802.0,41,200,148,43
37.745611600000004,-122.43472290000001,920.0,14,63,9,14
37.74568669,-122.43354540000001,2443.0,44,225,53,45
37.74582826,-122.43132469999999,822.0,16,92,42,17
37.74589849,-122.443374,1658.0,27,186,86,28
37.74596004,-122.4291162,1019.0,21,98,65,21
37.74609877,-122.4268912,3036.0,56,339,95,56
37.7462414,-122.42460279999999,1818.0,33,167,61,33
37.74637652,-122.42231070000001,3351.0,66,329,178,69
37.74641225,-122.4217044,2526.0,42,244,83,44
37.74649204,-122.42035759999999,4583.0,76,369,129,78
37.74655767,-122.4434037,2474.0,42,193,72,42
37.74676522,-122.4439608,903.0,14,81,6,14
37.74717191,-122.4223835,1520.0,36,160,132,36
37.74750435,-122.4431618,41.0,1,4,-1,1
37.74801042,-122.44347379999999,1622.0,28,148,108,30
37.74801345,-122.42248740000001,3153.0,64,357,308,64
37.74818321,-122.44251899999999,348.0,6,26,32,6
37.748664500000004,-122.43824609999999,2381.0,39,233,83,39
37.74876203,-122.4360672,1572.0,29,181,42,29
37.7487729,-122.42257109999998,3457.0,74,376,213,75
37.74889597,-122.4338511,874.0,15,116,30,16
37.74902821,-122.4316396,903.0,17,88,42,17
37.74915785,-122.42942279999998,1160.0,19,106,47,19
37.74929572,-122.4272,2154.0,36,172,12,36
37.7494349,-122.42492299999999,844.0,14,83,11,14
37.75037224,-122.4227256,3374.0,66,376,269,68
37.75197162,-122.42287879999999,2387.0,45,267,229,50
37.75277762,-122.4229096,2327.0,52,273,114,54
37.75356918,-122.42302849999999,1543.0,43,152,120,45
37.754375200000005,-122.42306210000001,1623.0,33,147,123,33
37.75516979,-122.423181,2715.0,60,318,116,62
37.75597097,-122.4232145,1612.0,33,187,70,34
37.75676878,-122.42333059999999,2923.0,62,308,223,62
37.75756491,-122.4234525,661.0,11,68,28,11
37.75757006,-122.4233673,2482.0,57,290,148,60
37.75836455,-122.4234885,4623.0,100,531,285,104
37.75916423,-122.4236129,2336.0,51,237,105,51
37.75996738,-122.4236413,6907.0,153,692,626,157
37.76156567,-122.4238007,9239.0,199,1054,708,206
37.76234101,-122.42392659999999,3703.0,73,398,215,74
37.76316782,-122.4239592,7706.0,160,798,612,165
37.763965999999996,-122.42398159999999,3007.0,65,326,141,67
37.76478345,-122.4241027,9384.0,224,988,621,227
37.76640577,-122.4242581,6406.0,141,637,416,144
37.76800642,-122.42441170000001,7404.0,157,719,495,164
37.76862931,-122.4244242,2255.0,48,219,123,51
37.76913366,-122.42457079999998,1039.0,21,108,62,21
37.76914818,-122.424475,1209.0,27,148,85,27
37.7697347,-122.4245811,4455.0,98,465,132,96
37.77074774,-122.42485259999998,5715.0,118,660,211,120
37.78756686,-122.4116422,2139.0,38,206,94,38
