,Latitude,Longitude,probability,overnight,openSpaces,numberOfCameras,Crime,ranks
0,37.74316145,-122.435559,0.3221,51,261,520,53,3
1,37.74321758,-122.4346217,0.0525,8,62,60,8,1
2,37.743296,-122.4333195,0.072,11,65,113,12,1
3,37.74343074,-122.4311003,0.2026,35,199,336,36,2
4,37.74356534,-122.4288827,0.1646,32,138,356,34,2
5,37.74369958,-122.42667040000002,0.2997,48,250,455,49,2
6,37.74383822,-122.42438490000002,0.2424,39,217,399,39,2
7,37.74394224,-122.42266940000002,0.4084,71,407,700,73,3
8,37.74397945,-122.4219768,0.2646,45,231,434,46,2
9,37.74400035,-122.43560320000002,0.1048,19,80,122,20,1
10,37.74403763,-122.4208937,0.5402,92,547,923,95,4
11,37.74411574,-122.4333946,0.2597,46,264,289,47,2
12,37.74424514,-122.4311798,0.2965,51,256,404,52,3
13,37.74436324,-122.4289595,0.1827,32,136,231,33,2
14,37.74449741,-122.4267462,0.239,42,232,281,42,2
15,37.744636,-122.4244592,0.1329,24,112,162,23,1
16,37.7447588,-122.4224388,0.4694,77,421,590,80,4
17,37.74514621,-122.4429495,0.2496,45,226,76,45,2
18,37.74523094,-122.4412703,0.2681,48,204,103,48,2
19,37.74529603,-122.440088,0.2963,51,275,77,52,3
20,37.74543459,-122.4379345,0.0902,18,78,63,18,1
21,37.74554995,-122.4357668,0.0558,12,35,14,12,1
22,37.74557881,-122.4222183,0.1802,41,200,148,43,2
23,37.7456116,-122.4347229,0.092,14,63,9,14,1
24,37.74568669,-122.4335454,0.2443,44,225,53,45,2
25,37.74582826,-122.4313247,0.0822,16,92,42,17,1
26,37.74589849,-122.443374,0.1658,27,186,86,28,2
27,37.74596004,-122.4291162,0.1019,21,98,65,21,1
28,37.74609877,-122.4268912,0.3036,56,339,95,56,3
29,37.7462414,-122.4246028,0.1818,33,167,61,33,2
30,37.74637652,-122.4223107,0.3351,66,329,178,69,3
31,37.74641225,-122.4217044,0.2526,42,244,83,44,2
32,37.74649204,-122.4203576,0.4583,76,369,129,78,4
33,37.74655767,-122.4434037,0.2474,42,193,72,42,2
34,37.74676522,-122.4439608,0.0903,14,81,6,14,1
35,37.74717191,-122.4223835,0.152,36,160,132,36,2
36,37.74750435,-122.4431618,0.0041,1,4,-1,1,1
37,37.74801042,-122.4434738,0.1622,28,148,108,30,2
38,37.74801345,-122.4224874,0.3153,64,357,308,64,3
39,37.74818321,-122.442519,0.0348,6,26,32,6,1
40,37.7486645,-122.4382461,0.2381,39,233,83,39,2
41,37.74876203,-122.4360672,0.1572,29,181,42,29,2
42,37.7487729,-122.42257109999998,0.3457,74,376,213,75,3
43,37.74889597,-122.4338511,0.0874,15,116,30,16,1
44,37.74902821,-122.4316396,0.0903,17,88,42,17,1
45,37.74915785,-122.42942279999998,0.116,19,106,47,19,1
46,37.74929572,-122.4272,0.2154,36,172,12,36,2
47,37.7494349,-122.424923,0.0844,14,83,11,14,1
48,37.75037224,-122.4227256,0.3374,66,376,269,68,3
49,37.75197162,-122.4228788,0.2387,45,267,229,50,2
50,37.75277762,-122.4229096,0.2327,52,273,114,54,3
51,37.75356918,-122.4230285,0.1543,43,152,120,45,2
52,37.754375200000005,-122.4230621,0.1623,33,147,123,33,2
53,37.75516979,-122.423181,0.2715,60,318,116,62,3
54,37.75597097,-122.4232145,0.1612,33,187,70,34,2
55,37.75676878,-122.4233306,0.2923,62,308,223,62,3
56,37.75756491,-122.4234525,0.0661,11,68,28,11,1
57,37.75757006,-122.4233673,0.2482,57,290,148,60,3
58,37.75836455,-122.4234885,0.4623,100,531,285,104,5
59,37.75916423,-122.4236129,0.2336,51,237,105,51,3
60,37.75996738,-122.4236413,0.6907,153,692,626,157,5
61,37.76156567,-122.4238007,0.9239,199,1054,708,206,5
62,37.76234101,-122.4239266,0.3703,73,398,215,74,3
63,37.76316782,-122.4239592,0.7706,160,798,612,165,5
64,37.763966,-122.4239816,0.3007,65,326,141,67,3
65,37.76478345,-122.4241027,0.9384,224,988,621,227,5
66,37.76640577,-122.4242581,0.6406,141,637,416,144,5
67,37.76800642,-122.4244117,0.7404,157,719,495,164,5
68,37.76862931,-122.4244242,0.2255,48,219,123,51,3
69,37.76913366,-122.42457079999998,0.1039,21,108,62,21,1
70,37.76914818,-122.424475,0.1209,27,148,85,27,2
71,37.7697347,-122.4245811,0.4455,98,465,132,96,4
72,37.77074774,-122.42485259999998,0.5715,118,660,211,120,5
73,37.78756686,-122.4116422,0.2139,38,206,94,38,2
