,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude,probability,rate,overnight,openSpaces,numberOfCameras
0,Monday,Recovered Vehicle,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,60,0,1,3,9
1,Tuesday,Burglary,29TH ST \ NOE ST,37.74343074,-122.4311003,33,0,1,4,9
2,Sunday,Fraud,29TH ST \ NOE ST,37.74343074,-122.4311003,58,0,1,4,12
3,Sunday,Robbery,29TH ST \ MISSION ST,37.74403763,-122.4208937,45,0,1,4,12
4,Tuesday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,65,0,1,5,12
5,Saturday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,34,0,1,3,11
6,Friday,Burglary,29TH ST \ CHURCH ST,37.74369958,-122.4266704,41,0,1,2,12
7,Sunday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,68,0,1,3,12
8,Monday,Assault,29TH ST \ MISSION ST,37.74403763,-122.4208937,40,0,1,2,12
9,Thursday,Larceny Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,39,0,1,3,4
10,Saturday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,82,0,1,4,4
11,Saturday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,46,0,1,2,12
12,Thursday,Non-Criminal,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,24,0,1,2,12
13,Tuesday,Burglary,29TH ST \ MISSION ST,37.74403763,-122.4208937,42,0,1,3,4
14,Thursday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,76,0,1,6,12
15,Friday,Non-Criminal,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,32,0,1,1,9
16,Wednesday,Motor Vehicle Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,78,0,1,6,9
17,Wednesday,Motor Vehicle Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,26,0,1,1,4
18,Tuesday,Lost Property,29TH ST \ DIAMOND ST,37.74316145,-122.435559,67,0,1,6,9
19,Wednesday,Larceny Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,32,0,1,1,11
20,Friday,Motor Vehicle Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,73,0,1,8,11
21,Wednesday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,36,0,1,5,12
22,Monday,Weapons Offense,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,47,0,1,2,12
23,Monday,Larceny Theft,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,42,0,1,3,12
24,Friday,Larceny Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,85,0,1,20,4
25,Tuesday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,90,0,1,8,11
26,Tuesday,Larceny Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,94,0,1,12,11
27,Monday,Larceny Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,83,0,1,6,4
28,Monday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,87,0,1,12,11
29,Saturday,Malicious Mischief,29TH ST \ CHURCH ST,37.74369958,-122.4266704,92,0,1,10,4
30,Sunday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,82,0,1,4,4
31,Saturday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,83,0,1,4,12
32,Thursday,Robbery,29TH ST \ DOLORES ST,37.74383822,-122.4243849,81,0,1,4,12
33,Thursday,Malicious Mischief,29TH ST \ DOLORES ST,37.74383822,-122.4243849,86,0,1,6,12
34,Tuesday,Disorderly Conduct,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,46,0,1,4,-1
35,Thursday,Larceny Theft,29TH ST \ CASTRO ST \ DAY ST,37.743296,-122.4333195,78,0,1,3,12
36,Thursday,Assault,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,83,0,1,5,12
37,Thursday,Disorderly Conduct,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,43,0,1,1,4
38,Monday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,78,0,1,6,4
39,Saturday,Recovered Vehicle,29TH ST \ DIAMOND ST,37.74316145,-122.435559,84,0,1,9,12
40,Wednesday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,85,0,1,20,9
41,Tuesday,Larceny Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,90,0,1,8,11
42,Monday,Non-Criminal,29TH ST \ CHURCH ST,37.74369958,-122.4266704,94,0,1,12,12
43,Tuesday,Fraud,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,83,0,1,6,11
44,Thursday,Offences Against The Family And Children,29TH ST \ CHURCH ST,37.74369958,-122.4266704,87,0,1,12,12
45,Friday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,92,0,1,10,11
46,Thursday,Offences Against The Family And Children,29TH ST \ CHURCH ST,37.74369958,-122.4266704,82,0,1,4,4
47,Tuesday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,83,0,1,4,11
48,Sunday,Recovered Vehicle,29TH ST \ CHURCH ST,37.74369958,-122.4266704,81,0,1,4,4
49,Saturday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,86,0,1,6,12
50,Monday,Fraud,29TH ST \ MISSION ST,37.74403763,-122.4208937,46,0,1,4,12
51,Sunday,Larceny Theft,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,78,0,1,3,9
52,Wednesday,Larceny Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,83,0,1,5,12
53,Saturday,Miscellaneous Investigation,29TH ST \ DOLORES ST,37.74383822,-122.4243849,43,0,1,1,12
54,Sunday,Motor Vehicle Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,78,0,1,6,12
55,Tuesday,Non-Criminal,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,84,0,1,9,12
56,Saturday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,45,0,1,4,11
57,Friday,Larceny Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,58,0,1,4,11
58,Tuesday,Motor Vehicle Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,34,0,1,3,-1
59,Tuesday,Motor Vehicle Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,65,0,1,5,11
60,Tuesday,Burglary,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,60,0,1,3,12
61,Monday,Traffic Collision,29TH ST \ MISSION ST,37.74403763,-122.4208937,33,0,1,4,12
62,Monday,Disorderly Conduct,29TH ST \ MISSION ST,37.74403763,-122.4208937,46,0,1,2,6
63,Monday,Fraud,29TH ST \ CASTRO ST \ DAY ST,37.743296,-122.4333195,60,0,1,3,6
64,Sunday,Fraud,29TH ST \ CASTRO ST \ DAY ST,37.743296,-122.4333195,33,0,1,4,11
65,Thursday,Larceny Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,58,0,1,4,12
66,Thursday,Non-Criminal,29TH ST \ MISSION ST,37.74403763,-122.4208937,45,0,1,4,12
67,Friday,Non-Criminal,29TH ST \ DOLORES ST,37.74383822,-122.4243849,65,0,1,5,11
68,Sunday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,34,0,1,3,12
69,Tuesday,Assault,29TH ST \ MISSION ST,37.74403763,-122.4208937,41,0,1,2,12
70,Friday,Other Miscellaneous,29TH ST \ DOLORES ST,37.74383822,-122.4243849,68,0,1,3,12
71,Saturday,Other Miscellaneous,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,40,0,1,2,5
72,Saturday,Motor Vehicle Theft,ZIRCON PL \ 29TH ST,37.74321758,-122.4346217,39,0,1,3,6
73,Tuesday,Malicious Mischief,29TH ST \ CASTRO ST \ DAY ST,37.743296,-122.4333195,82,0,1,4,4
74,Monday,Assault,29TH ST \ DIAMOND ST,37.74316145,-122.435559,46,0,1,2,-1
75,Saturday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,24,0,1,2,12
76,Tuesday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,42,0,1,3,4
77,Friday,Other Miscellaneous,29TH ST \ DIAMOND ST,37.74316145,-122.435559,76,0,1,6,11
78,Thursday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,32,0,1,1,11
79,Monday,Larceny Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,78,0,1,6,12
