,probability,rate,overnight,openSpaces
0,60.0,0.0,1,3
1,33.0,0.0,1,4
2,58.0,0.0,1,4
3,45.0,0.0,1,4
4,65.0,0.0,1,5
5,34.0,0.0,1,3
6,41.0,0.0,1,2
7,68.0,0.0,1,3
8,40.0,0.0,1,2
9,39.0,0.0,1,3
10,82.0,0.0,1,4
11,46.0,0.0,1,2
12,24.0,0.0,1,2
13,42.0,0.0,1,3
14,76.0,0.0,1,6
15,32.0,0.0,1,1
16,78.0,0.0,1,6
17,26.0,0.0,1,1
18,67.0,0.0,1,6
19,32.0,0.0,1,1
20,73.0,0.0,1,8
21,36.0,0.0,1,5
22,47.0,0.0,1,2
23,42.0,0.0,1,3
24,85.0,0.0,1,20
25,90.0,0.0,1,8
26,94.0,0.0,1,12
27,83.0,0.0,1,6
28,87.0,0.0,1,12
29,92.0,0.0,1,10
30,82.0,0.0,1,4
31,83.0,0.0,1,4
32,81.0,0.0,1,4
33,86.0,0.0,1,6
34,46.0,0.0,1,4
35,78.0,0.0,1,3
36,83.0,0.0,1,5
37,43.0,0.0,1,1
38,78.0,0.0,1,6
39,84.0,0.0,1,9
40,85.0,0.0,1,20
41,90.0,0.0,1,8
42,94.0,0.0,1,12
43,83.0,0.0,1,6
44,87.0,0.0,1,12
45,92.0,0.0,1,10
46,82.0,0.0,1,4
47,83.0,0.0,1,4
48,81.0,0.0,1,4
49,86.0,0.0,1,6
50,46.0,0.0,1,4
51,78.0,0.0,1,3
52,83.0,0.0,1,5
53,43.0,0.0,1,1
54,78.0,0.0,1,6
55,84.0,0.0,1,9
56,45.0,0.0,1,4
57,58.0,0.0,1,4
58,34.0,0.0,1,3
59,65.0,0.0,1,5
60,60.0,0.0,1,3
61,33.0,0.0,1,4
62,46.0,0.0,1,2
63,60.0,0.0,1,3
64,33.0,0.0,1,4
65,58.0,0.0,1,4
66,45.0,0.0,1,4
67,65.0,0.0,1,5
68,34.0,0.0,1,3
69,41.0,0.0,1,2
70,68.0,0.0,1,3
71,40.0,0.0,1,2
72,39.0,0.0,1,3
73,82.0,0.0,1,4
74,46.0,0.0,1,2
75,24.0,0.0,1,2
76,42.0,0.0,1,3
77,76.0,0.0,1,6
78,32.0,0.0,1,1
79,78.0,0.0,1,6
80,26.0,0.0,1,1
81,67.0,0.0,1,6
82,32.0,0.0,1,1
83,73.0,0.0,1,8
84,36.0,0.0,1,5
85,47.0,0.0,1,2
86,42.0,0.0,1,3
87,59.0,0.0,1,18
88,41.0,0.0,1,4
89,42.0,0.0,1,5
90,67.0,0.0,1,9
91,27.0,0.0,1,1
92,70.0,0.0,1,14
93,,0.0,1,0
94,36.0,0.0,1,6
95,61.0,0.0,1,4
96,36.0,0.0,1,12
97,78.0,0.0,1,4
98,29.0,0.0,1,3
99,87.0,0.0,1,7
100,56.0,0.0,1,5
101,82.0,0.0,1,4
102,39.0,0.0,1,3
103,46.0,0.0,1,4
104,78.0,0.0,1,3
105,60.0,0.0,1,3
106,33.0,0.0,1,4
107,58.0,0.0,1,4
108,45.0,0.0,1,4
109,65.0,0.0,1,5
110,34.0,0.0,1,3
111,41.0,0.0,1,2
112,68.0,0.0,1,3
113,40.0,0.0,1,2
114,39.0,0.0,1,3
115,82.0,0.0,1,4
116,46.0,0.0,1,2
117,24.0,0.0,1,2
118,42.0,0.0,1,3
119,76.0,0.0,1,6
120,32.0,0.0,1,1
121,78.0,0.0,1,6
122,26.0,0.0,1,1
123,67.0,0.0,1,6
124,32.0,0.0,1,1
125,73.0,0.0,1,8
126,36.0,0.0,1,5
127,47.0,0.0,1,2
128,42.0,0.0,1,3
129,45.0,0.0,1,4
130,58.0,0.0,1,4
131,34.0,0.0,1,3
132,65.0,0.0,1,5
133,60.0,0.0,1,3
134,33.0,0.0,1,4
135,46.0,0.0,1,2
136,40.0,0.0,1,2
137,39.0,0.0,1,3
138,82.0,0.0,1,4
139,24.0,0.0,1,2
140,76.0,0.0,1,6
141,32.0,0.0,1,1
142,42.0,0.0,1,3
143,26.0,0.0,1,1
144,78.0,0.0,1,6
145,41.0,0.0,1,2
146,68.0,0.0,1,3
147,33.0,0.0,1,4
148,60.0,0.0,1,3
149,58.0,0.0,1,4
150,71.0,0.0,1,3
151,36.0,0.0,1,1
152,54.0,0.0,1,1
153,43.0,0.0,1,1
154,,inf,0,0
155,35.0,0.0,1,3
156,47.0,0.0,1,2
157,42.0,0.0,1,3
158,73.0,0.0,1,8
159,81.0,0.0,1,11
160,83.0,0.0,1,11
161,76.0,0.0,1,6
162,89.0,0.0,1,12
163,86.0,0.0,1,8
164,38.0,0.0,1,1
165,92.0,0.0,1,7
166,93.0,0.0,1,16
167,94.0,0.0,1,9
168,,inf,0,0
169,85.0,0.0,1,16
170,,inf,0,0
171,50.0,0.0,1,1
172,89.0,0.0,1,12
173,83.0,0.0,1,5
174,43.0,0.0,1,1
175,71.0,0.0,1,6
176,89.0,0.0,1,21
177,45.0,0.0,1,4
178,58.0,0.0,1,4
179,33.0,0.0,1,4
180,60.0,0.0,1,3
181,65.0,0.0,1,5
182,34.0,0.0,1,3
183,41.0,0.0,1,2
184,68.0,0.0,1,3
185,46.0,0.0,1,2
186,67.0,0.0,1,6
187,32.0,0.0,1,1
188,36.0,0.0,1,5
189,81.0,0.0,1,11
190,83.0,0.0,1,11
191,76.0,0.0,1,6
192,89.0,0.0,1,12
193,86.0,0.0,1,8
194,38.0,0.0,1,1
195,92.0,0.0,1,7
196,93.0,0.0,1,16
197,94.0,0.0,1,9
198,,inf,0,0
199,85.0,0.0,1,16
200,,inf,0,0
201,50.0,0.0,1,1
202,89.0,0.0,1,12
203,83.0,0.0,1,5
204,43.0,0.0,1,1
205,71.0,0.0,1,6
206,89.0,0.0,1,21
207,45.0,0.0,1,4
208,58.0,0.0,1,4
209,33.0,0.0,1,4
210,60.0,0.0,1,3
211,65.0,0.0,1,5
212,34.0,0.0,1,3
213,41.0,0.0,1,2
214,68.0,0.0,1,3
215,46.0,0.0,1,2
216,67.0,0.0,1,6
217,32.0,0.0,1,1
218,36.0,0.0,1,5
219,85.0,0.0,1,20
220,90.0,0.0,1,8
221,94.0,0.0,1,12
222,83.0,0.0,1,6
223,87.0,0.0,1,12
224,92.0,0.0,1,10
225,82.0,0.0,1,4
226,83.0,0.0,1,4
227,81.0,0.0,1,4
228,86.0,0.0,1,6
229,46.0,0.0,1,4
230,78.0,0.0,1,3
231,83.0,0.0,1,5
232,43.0,0.0,1,1
233,78.0,0.0,1,6
234,83.0,0.0,1,9
235,81.0,0.0,1,11
236,83.0,0.0,1,11
237,76.0,0.0,1,6
238,89.0,0.0,1,12
239,86.0,0.0,1,8
240,38.0,0.0,1,1
241,92.0,0.0,1,7
242,93.0,0.0,1,16
243,94.0,0.0,1,9
244,,inf,0,0
245,85.0,0.0,1,16
246,,inf,0,0
247,50.0,0.0,1,1
248,89.0,0.0,1,12
249,83.0,0.0,1,5
250,43.0,0.0,1,1
251,71.0,0.0,1,6
252,89.0,0.0,1,21
253,46.0,0.0,1,4
254,78.0,0.0,1,3
255,53.0,0.0,1,6
256,85.0,0.0,1,12
257,63.0,0.0,1,12
258,81.0,0.0,1,6
259,80.0,0.0,1,5
260,56.0,0.0,1,4
261,8.0,0.0,1,1
