,numberOfCameras
0,12
1,11
2,12
3,9
4,12
5,-1
6,-1
7,11
8,-1
9,-1
10,-1
11,-1
12,9
13,11
14,9
15,-1
16,9
17,9
18,-1
19,-1
20,-1
21,-1
22,-1
23,12
24,12
25,9
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,9
34,9
35,-1
36,-1
37,-1
38,15
39,10
40,-1
41,11
42,-1
43,-1
44,-1
45,-1
46,12
47,11
48,-1
49,-1
50,9
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,12
62,11
63,-1
64,-1
65,-1
66,12
67,-1
68,-1
69,-1
70,-1
71,-1
72,15
73,10
74,-1
75,12
76,12
77,-1
78,-1
79,12
80,-1
81,-1
82,11
83,-1
84,9
85,13
86,-1
87,-1
88,11
89,-1
90,12
91,-1
92,12
93,-1
94,14
95,-1
96,-1
97,15
98,-1
99,-1
100,-1
101,-1
102,-1
103,-1
104,15
105,-1
106,15
107,-1
108,10
109,12
110,-1
111,-1
112,-1
113,-1
114,-1
115,10
116,-1
117,-1
118,-1
119,-1
120,-1
121,11
122,-1
123,-1
124,-1
125,-1
126,11
127,11
128,9
129,12
130,-1
131,-1
132,12
133,8
134,-1
135,11
136,9
137,-1
138,-1
139,-1
140,8
141,-1
142,11
143,-1
144,12
145,13
146,12
147,15
148,12
149,-1
150,12
151,13
152,-1
153,10
154,-1
155,13
156,10
157,13
158,-1
159,-1
160,13
161,-1
162,9
163,12
164,-1
165,-1
166,-1
167,-1
168,-1
169,-1
170,9
171,12
172,11
173,11
174,-1
175,-1
176,-1
177,12
178,12
179,9
180,-1
181,-1
182,-1
183,15
184,-1
185,10
186,14
187,-1
188,10
189,-1
190,15
191,-1
192,11
193,9
194,-1
195,-1
196,9
197,-1
198,11
199,-1
200,12
201,-1
202,-1
203,-1
204,13
205,-1
206,11
207,14
208,-1
209,-1
210,-1
211,12
212,10
213,-1
214,12
215,-1
216,-1
217,-1
218,-1
219,-1
220,9
221,9
222,-1
223,-1
224,-1
225,-1
226,-1
227,10
228,-1
229,9
230,-1
231,-1
232,-1
233,-1
234,-1
235,-1
236,11
237,-1
238,10
239,9
240,-1
241,-1
242,-1
243,13
244,-1
245,-1
246,-1
247,12
248,11
249,-1
250,11
251,11
252,-1
253,-1
254,-1
255,12
256,11
257,-1
258,-1
259,-1
260,-1
261,11
262,-1
263,-1
264,11
265,-1
266,-1
267,-1
268,-1
269,-1
270,15
271,9
272,-1
273,-1
274,10
275,15
276,14
277,-1
278,12
279,12
280,12
281,-1
282,10
283,-1
284,10
285,10
286,9
287,11
288,-1
289,8
290,9
291,-1
292,10
293,9
294,9
295,-1
296,9
297,12
298,-1
299,-1
300,-1
301,-1
302,-1
303,15
304,-1
305,-1
306,-1
307,-1
308,9
309,-1
310,-1
311,13
312,-1
313,-1
314,10
315,-1
316,-1
317,-1
318,-1
319,-1
320,12
321,9
322,-1
323,-1
324,-1
325,11
326,11
327,-1
328,-1
329,-1
330,-1
331,15
332,-1
333,-1
334,-1
335,-1
336,-1
337,-1
338,9
339,-1
340,-1
341,-1
342,-1
343,12
344,-1
345,-1
346,-1
347,-1
348,12
349,-1
350,10
351,-1
352,-1
353,-1
354,-1
355,10
356,-1
357,-1
358,12
359,-1
360,-1
361,11
362,-1
363,-1
364,-1
365,-1
366,-1
367,-1
368,9
369,11
370,-1
371,-1
372,-1
373,-1
374,9
375,-1
376,-1
377,-1
378,10
379,-1
380,-1
381,9
382,9
383,11
384,-1
385,-1
386,-1
387,10
388,-1
389,-1
390,-1
391,-1
392,-1
393,-1
394,-1
395,-1
396,12
397,9
398,-1
399,10
400,-1
401,-1
402,-1
403,-1
404,-1
405,9
406,-1
407,-1
408,-1
409,8
410,-1
411,-1
412,12
413,12
414,-1
415,-1
416,-1
417,11
418,9
419,-1
420,-1
421,-1
422,-1
423,-1
424,-1
425,-1
426,-1
427,-1
428,-1
429,12
430,-1
431,13
432,-1
433,-1
434,-1
435,11
436,-1
437,-1
438,-1
439,-1
440,9
441,11
442,9
443,11
444,9
445,9
446,-1
447,13
448,14
449,-1
450,8
451,12
452,-1
453,15
454,9
455,-1
456,11
457,-1
458,-1
459,9
460,-1
461,-1
462,9
463,-1
464,-1
465,-1
466,-1
467,-1
468,11
469,-1
470,-1
471,-1
472,-1
473,-1
474,-1
475,9
476,-1
477,-1
478,-1
479,-1
480,15
481,-1
482,-1
483,12
484,-1
485,11
486,-1
487,-1
488,-1
489,-1
490,-1
491,-1
492,11
493,9
494,-1
495,-1
496,-1
497,-1
498,11
499,9
500,-1
501,-1
502,-1
503,-1
504,-1
505,-1
506,15
507,11
508,8
509,-1
510,-1
511,-1
512,-1
513,-1
514,10
515,10
516,-1
517,-1
518,9
519,12
520,-1
521,-1
522,-1
523,-1
524,9
525,12
526,13
527,-1
528,11
529,-1
530,-1
531,-1
532,-1
533,-1
534,-1
535,15
536,-1
537,10
538,9
539,-1
540,12
541,11
542,10
543,9
544,12
545,12
546,-1
547,10
548,-1
549,-1
550,8
551,-1
552,9
553,-1
554,-1
555,11
556,-1
557,-1
558,15
559,11
560,11
561,-1
562,-1
563,-1
564,-1
565,-1
566,-1
567,-1
568,-1
569,-1
570,-1
571,-1
572,9
573,-1
574,-1
575,10
576,-1
577,-1
578,-1
579,-1
580,9
581,-1
582,15
583,-1
584,-1
585,-1
586,-1
587,-1
588,-1
589,-1
590,-1
591,-1
592,-1
593,-1
594,9
595,10
596,9
597,-1
598,11
599,-1
600,8
601,-1
602,-1
603,-1
604,-1
605,10
606,11
607,-1
608,-1
609,-1
610,10
611,-1
612,-1
613,-1
614,-1
615,-1
616,12
617,-1
618,-1
619,-1
620,12
621,8
622,-1
623,-1
624,11
625,-1
626,-1
627,-1
628,-1
629,-1
630,11
631,-1
632,-1
633,-1
634,-1
635,9
636,11
637,-1
638,-1
639,-1
640,-1
641,14
642,-1
643,-1
644,-1
645,15
646,-1
647,-1
648,-1
649,14
650,-1
651,-1
652,9
653,9
654,-1
655,-1
656,-1
657,-1
658,9
659,-1
660,-1
661,-1
662,-1
663,-1
664,11
665,-1
666,12
667,-1
668,-1
669,11
670,-1
671,-1
672,-1
673,-1
674,-1
675,-1
676,11
677,10
678,-1
679,-1
680,12
681,-1
682,-1
683,-1
684,-1
685,-1
686,11
687,10
688,-1
689,13
690,-1
691,-1
692,15
693,-1
694,-1
695,-1
696,12
697,11
698,9
699,14
700,13
701,-1
702,-1
703,-1
704,13
705,-1
706,-1
707,9
708,-1
709,12
710,14
711,-1
712,12
713,-1
714,-1
715,-1
716,10
717,-1
718,-1
719,-1
720,-1
721,12
722,-1
723,-1
724,-1
725,11
726,-1
727,-1
728,-1
729,-1
730,-1
731,-1
732,11
733,9
734,-1
735,-1
736,-1
737,9
738,-1
739,12
740,-1
741,-1
742,-1
743,-1
744,-1
745,11
746,-1
747,12
748,-1
749,-1
750,-1
751,-1
752,9
753,-1
754,-1
755,-1
756,-1
757,-1
758,-1
759,-1
760,9
761,-1
762,11
763,-1
764,-1
765,12
766,8
767,-1
768,-1
769,-1
770,-1
771,-1
772,12
773,15
774,-1
775,11
776,-1
777,12
778,-1
779,-1
780,-1
781,-1
782,-1
783,10
784,-1
785,-1
786,-1
787,12
788,10
789,-1
790,-1
791,-1
792,-1
793,12
794,-1
795,-1
796,11
797,-1
798,-1
799,-1
800,-1
801,-1
802,-1
803,-1
804,11
805,-1
806,-1
807,-1
808,12
809,-1
810,-1
811,-1
812,-1
813,-1
814,9
815,-1
816,-1
817,-1
818,14
819,12
820,9
821,-1
822,-1
823,-1
824,12
825,-1
826,-1
827,12
828,-1
829,-1
830,-1
831,15
832,-1
833,-1
834,-1
835,-1
836,-1
837,-1
838,-1
839,10
840,9
841,-1
842,-1
843,-1
844,9
845,-1
846,-1
847,-1
848,-1
849,8
850,9
851,9
852,-1
853,-1
854,-1
855,-1
856,-1
857,-1
858,12
859,-1
860,11
861,11
862,-1
863,12
864,-1
865,9
866,11
867,-1
868,-1
869,-1
870,10
871,-1
872,12
873,-1
874,-1
875,11
876,-1
877,-1
878,11
879,12
880,-1
881,-1
882,-1
883,12
884,-1
885,-1
886,-1
887,8
888,-1
889,-1
890,-1
891,-1
892,-1
893,-1
894,-1
895,-1
896,12
897,8
898,-1
899,12
900,-1
901,-1
902,12
903,-1
904,-1
905,12
906,-1
907,-1
908,-1
909,-1
910,-1
911,-1
912,12
913,-1
914,9
915,12
916,-1
917,-1
918,-1
919,-1
920,11
921,9
922,-1
923,-1
924,-1
925,-1
926,12
927,12
928,-1
929,-1
930,-1
931,-1
932,15
933,-1
934,9
935,-1
936,-1
937,12
938,-1
939,-1
940,10
941,-1
942,-1
943,12
944,-1
945,9
946,-1
947,-1
948,15
949,-1
950,12
951,11
952,9
953,12
954,9
955,11
956,11
957,10
958,12
959,14
960,11
961,12
962,11
963,-1
964,-1
965,-1
966,-1
967,9
968,-1
969,12
970,-1
971,11
972,-1
973,-1
974,-1
975,-1
976,-1
977,-1
978,11
979,11
980,12
981,10
982,-1
983,-1
984,-1
985,12
986,-1
987,-1
988,-1
989,12
990,8
991,-1
992,-1
993,-1
994,12
995,11
996,12
997,12
998,10
999,-1
1000,-1
1001,-1
